timestamp,strategy,game_id,rejections,admitted,success,duration_seconds
2025-09-06T11:25:37.157679,rbcr,c6d7e353-e303-4d03-a1a9-a2a555b99608,824,972,True,0.0
2025-09-06T11:25:51.497792,rbcr,568f023f-536b-4566-bc38-8762dc98cce7,808,971,True,0.0
2025-09-06T11:25:55.625363,rbcr,fadd019e-ce4c-4eeb-bc7c-eb8b5c950e71,837,983,True,0.0
2025-09-06T11:25:59.375850,perfect,6f8ccb7f-43b9-4b1e-a4eb-9d3527402217,819,926,True,0.0
2025-09-06T11:26:20.354270,rbcr,58725a04-250b-4252-a0f8-b24a827a804b,808,962,True,0.0
2025-09-06T11:26:24.079533,rbcr,806a3ba6-8778-4c29-9c87-9ee2da315c51,817,988,True,0.0
2025-09-06T11:26:45.622675,dual,93f7dc45-5323-4513-bfe9-016571873b19,839,927,True,0.0
2025-09-06T11:26:49.412459,rbcr2,36ba4593-e4ae-4627-882b-9886af820e3a,811,975,True,0.0
2025-09-06T11:27:08.269480,rbcr,7b8f350b-7f8d-4d8c-9cec-16cbeaf52ca1,835,982,True,0.0
2025-09-06T11:27:38.975702,apex,696cb4d9-c5dd-4589-b34b-d548ac09a63a,825,922,True,0.0
2025-09-06T11:27:42.717353,rbcr,f422dcf1-e4c2-4e30-830d-5ce7837770aa,810,963,True,0.0
2025-09-06T11:27:57.877276,rbcr,709ba7d5-c7ff-4b7d-b4c8-e5f12434f2d5,836,977,True,0.0
2025-09-06T11:28:01.439782,rbcr,81d44d19-6a95-4d1a-87f7-03e715d0fa5b,838,992,True,0.0
2025-09-06T11:28:05.196442,rbcr,988a2f6c-f4da-4a8b-aa61-3cf9c1e1d7dc,846,997,True,0.0
2025-09-06T11:28:08.652114,rbcr,98de642c-23ac-471e-b6df-1dd083ee1007,826,983,True,0.0
2025-09-06T11:28:12.113504,rbcr,70a6379e-f917-4f9f-8f3a-726c7ae29f95,787,968,True,0.0
2025-09-06T11:28:26.252984,rbcr,238a642e-0439-4f61-8281-db65776d8778,797,977,True,0.0
2025-09-06T11:28:33.377223,rbcr,fe04ab36-b7a8-4672-9102-89e2a978cd83,841,996,True,0.0
2025-09-06T11:28:47.399651,rbcr,f982575a-9ab5-4444-a503-516947f28265,821,984,True,0.0
2025-09-06T11:28:59.312290,ultimate2,0eae6b75-eba0-4cfd-8bfe-3cd49644c6fa,825,919,True,0.0
2025-09-06T11:29:02.579787,rbcr,2b30435e-97ea-4e63-b571-f081ac4a4e22,827,987,True,0.0
2025-09-06T11:29:06.086590,perfect,03dd1569-2578-4ec8-af89-74135dbc8e0e,836,907,True,0.0
2025-09-06T11:29:09.854106,rbcr,393a063e-e11c-4732-b045-0da5266edd2b,817,973,True,0.0
2025-09-06T11:29:21.107981,rbcr,cc2c72ee-3591-40a3-b12b-9b393bbe81fc,828,981,True,0.0
2025-09-06T11:29:28.960330,rbcr,b071495e-e4d1-41a7-ae91-3723bc881c42,824,956,True,0.0
2025-09-06T11:29:36.974813,rbcr2,4fc257b7-c62e-4b79-a086-f3a1f28e221f,787,977,True,0.0
2025-09-06T11:29:37.037151,rbcr,e6443670-d250-4baa-91ac-636341d6bd29,827,962,True,0.0
2025-09-06T11:35:37.545521,rbcr,1f216eae-434d-4314-8537-2cd4879a303d,803,959,True,0.0
2025-09-06T11:35:41.854743,rbcr,357d3d58-eed1-4574-834a-6e3a923354dd,844,968,True,0.0
2025-09-06T11:35:41.865201,rbcr,d631b341-9152-4f6f-b7c9-59ecbefa7cc1,834,968,True,0.0
2025-09-06T11:35:41.890006,rbcr,42cd3a8d-0561-4383-aaed-49b3ff18cbdb,867,977,True,0.0
2025-09-06T11:35:41.915450,rbcr,f94fcd11-6460-4335-b463-87e43940c9b5,878,996,True,0.0
